RowNumber,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Card Type,Point Earned,Exited
1,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,1,3,DIAMOND,456,0
2,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,5,GOLD,425,0
3,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,5,DIAMOND,484,1
4,497,Spain,Male,24,3,0,2,1,0,76390.01,0,3,GOLD,249,0
5,635,Spain,Female,35,7,0,2,1,1,65951.65,0,2,GOLD,318,0
6,549,Spain,Female,24,9,0,2,1,1,14406.41,0,3,SILVER,544,0
7,587,Spain,Male,45,6,0,1,0,0,158684.81,0,3,PLATINUM,732,0
8,636,Spain,Female,32,8,0,2,1,0,138555.46,0,2,DIAMOND,336,0
9,510,Spain,Female,38,4,0,1,1,0,118913.53,1,2,DIAMOND,887,1
10,591,Spain,Female,39,3,0,3,1,0,140469.38,1,3,DIAMOND,298,1
11,520,Spain,Female,42,6,0,2,1,1,34410.55,0,2,SILVER,922,0
12,722,Spain,Female,29,9,0,2,1,1,142033.07,0,5,PLATINUM,276,0
13,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,4,SILVER,471,0
14,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,2,GOLD,994,0
15,472,Spain,Male,40,4,0,1,1,0,70154.22,0,4,DIAMOND,545,0
16,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,1,PLATINUM,884,0
17,511,Spain,Female,66,4,0,1,1,0,1643.11,1,5,SILVER,549,1
18,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,5,PLATINUM,481,0
19,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,4,SILVER,903,0
20,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,2,GOLD,979,0
21,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,3,SILVER,582,0
22,652,Spain,Female,75,10,0,2,1,1,114675.75,0,5,DIAMOND,651,0
23,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,2,SILVER,852,1
24,647,Spain,Female,44,5,0,3,1,1,174205.22,1,3,DIAMOND,752,1
25,730,Spain,Male,42,4,0,2,0,1,85982.47,0,4,DIAMOND,722,0
26,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,1,GOLD,231,0
27,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,5,DIAMOND,488,0
28,710,Spain,Male,22,8,0,2,0,0,99645.04,0,4,SILVER,289,0
29,528,Spain,Male,36,7,0,2,1,0,60536.56,0,5,SILVER,458,0
30,670,Spain,Female,65,1,0,1,1,1,177655.68,1,2,GOLD,915,1
31,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,3,GOLD,299,1
32,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,3,DIAMOND,509,0
33,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,4,SILVER,749,0
34,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,1,PLATINUM,510,0
35,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,0,4,DIAMOND,814,1
36,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,4,GOLD,247,1
37,793,Spain,Male,52,2,0,1,1,0,159123.82,1,5,GOLD,883,1
38,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,4,GOLD,764,0
39,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,1,PLATINUM,608,0
40,754,Spain,Female,32,7,0,2,1,0,89520.75,0,1,SILVER,800,0
41,716,Spain,Male,42,8,0,2,1,0,180800.42,0,2,SILVER,427,0
42,706,Spain,Male,57,7,0,1,1,0,17941.16,1,1,GOLD,701,1
43,586,Spain,Female,28,2,0,2,1,1,92067.35,0,5,PLATINUM,635,0
44,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,2,GOLD,666,0
45,721,Spain,Female,36,2,0,2,1,1,106977.8,0,5,SILVER,534,0
46,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,1,PLATINUM,388,1
47,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,1,PLATINUM,561,0
48,667,Spain,Female,39,2,0,2,1,0,40721.24,1,5,PLATINUM,308,1
49,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,2,SILVER,415,0
50,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,5,SILVER,681,0
51,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,5,GOLD,739,0
52,525,Spain,Female,37,0,0,1,0,1,131521.72,0,5,SILVER,642,0
53,616,Spain,Male,30,5,0,2,0,1,196108.51,0,4,PLATINUM,701,0
54,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,1,DIAMOND,520,0
55,616,Spain,Female,32,6,0,2,1,1,43001.46,0,5,GOLD,512,0
56,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,2,DIAMOND,615,0
57,516,Spain,Male,50,5,0,1,0,1,146145.93,1,5,GOLD,509,1
58,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,1,PLATINUM,726,0
59,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,3,PLATINUM,639,1
60,730,Spain,Female,33,9,0,2,0,0,176576.62,0,1,SILVER,621,0
61,514,Spain,Male,30,7,0,1,0,1,125010.24,0,4,DIAMOND,583,0
62,662,Spain,Male,38,4,0,2,1,0,136259.65,0,5,GOLD,248,0
63,523,Spain,Male,34,7,0,2,1,0,62030.06,0,4,DIAMOND,566,0
64,587,Spain,Female,34,1,0,2,1,1,97932.68,0,4,DIAMOND,749,0
65,696,Spain,Male,28,8,0,1,0,0,176713.47,0,3,SILVER,671,0
66,766,Spain,Male,41,0,0,2,0,1,34283.23,0,4,GOLD,670,0
67,726,Spain,Female,48,6,99906.19,1,1,0,64323.24,0,4,DIAMOND,901,0
68,738,Spain,Male,31,9,79019.8,1,1,1,18606.23,0,4,PLATINUM,467,0
69,531,Spain,Female,36,9,99240.51,1,1,0,123137.01,0,1,PLATINUM,717,0
70,549,Spain,Female,39,7,0,1,0,0,81259.25,1,2,GOLD,716,1
71,650,Spain,Male,41,9,0,2,0,1,191599.67,0,4,PLATINUM,693,0
72,706,Spain,Female,37,7,0,2,1,1,110899.3,0,1,GOLD,799,0
73,775,Spain,Male,29,10,0,2,1,1,68143.93,0,2,DIAMOND,913,0
74,602,Spain,Male,29,5,103907.28,1,1,0,161229.84,0,2,SILVER,861,0
75,744,Spain,Female,26,5,166297.89,1,1,1,181694.44,0,1,PLATINUM,526,0
76,588,Spain,Male,34,10,0,2,1,0,79078.91,0,2,PLATINUM,632,0
77,747,Spain,Female,41,5,94521.17,2,1,0,194926.86,0,1,DIAMOND,806,0
78,750,Spain,Female,34,9,112822.26,1,0,0,150401.53,1,2,PLATINUM,563,1
79,687,Spain,Female,44,7,0,3,1,0,155853.52,1,2,SILVER,336,1
80,616,Spain,Female,36,6,132311.71,1,0,0,15462.84,0,2,SILVER,268,0
81,744,Spain,Male,36,2,153804.44,1,1,1,87213.33,0,3,SILVER,252,0
82,474,Spain,Male,37,3,0,2,0,0,57175.32,0,4,SILVER,275,0
83,706,Spain,Male,42,9,0,2,1,1,28714.34,0,4,PLATINUM,361,0
84,628,Spain,Female,22,3,0,1,1,0,85426.28,0,4,DIAMOND,483,0
85,525,Spain,Female,57,2,145965.33,1,1,1,64448.36,0,5,PLATINUM,337,0
86,667,Spain,Female,40,1,146502.07,1,1,0,19162.89,0,3,DIAMOND,230,0
87,626,Spain,Female,37,6,108269.37,1,1,0,5597.94,0,2,DIAMOND,457,0
88,805,Spain,Female,39,5,165272.13,1,1,0,14109.85,1,3,SILVER,317,1
89,545,Spain,Female,47,5,0,2,1,1,38970.14,0,4,PLATINUM,373,0
90,659,Spain,Male,32,3,107594.11,2,1,1,102416.84,0,3,DIAMOND,683,0
91,762,Spain,Male,39,2,81273.13,1,1,1,18719.67,0,5,GOLD,929,0
92,568,Spain,Female,32,7,169399.6,1,1,0,61936.22,0,4,PLATINUM,234,0
93,670,Spain,Male,25,6,0,2,1,1,78358.94,0,3,DIAMOND,723,0
94,850,Spain,Female,57,8,126776.3,2,1,1,132298.49,0,3,GOLD,244,0
95,522,Spain,Male,34,9,126436.29,1,1,0,174248.52,1,3,GOLD,973,1
96,706,Spain,Male,28,3,0,2,0,1,181543.67,0,3,SILVER,241,0
97,628,Spain,Female,33,3,0,1,1,1,188193.25,0,4,GOLD,240,0
98,801,Spain,Male,42,4,141947.67,1,1,1,10598.29,0,3,SILVER,687,0
99,572,Spain,Male,35,4,152390.26,1,1,0,128123.66,0,4,GOLD,951,0
100,629,Spain,Female,30,2,34013.63,1,1,0,19570.63,0,2,DIAMOND,952,0
101,687,Spain,Female,39,2,0,3,0,0,188150.6,1,2,GOLD,616,1
102,611,Spain,Male,46,6,0,2,1,0,45886.33,0,4,DIAMOND,406,0
103,730,Spain,Male,62,2,0,2,1,1,186489.95,0,4,GOLD,594,0
104,709,Spain,Female,45,2,0,2,0,1,162922.65,0,1,PLATINUM,815,0
105,648,Spain,Male,46,9,127209,2,1,0,77405.95,1,4,GOLD,932,1
106,556,Spain,Male,38,8,0,2,0,0,417.41,1,3,GOLD,632,1
107,594,Spain,Female,24,0,97378.54,1,1,1,71405.17,0,2,DIAMOND,431,0
108,751,Spain,Male,52,8,0,2,0,1,179291.85,0,5,SILVER,629,0
109,443,Spain,Male,36,6,70438.01,2,0,1,56937.43,0,4,GOLD,858,0
110,538,Spain,Female,49,9,141434.04,1,0,0,173779.25,1,5,GOLD,797,1
111,611,Spain,Female,37,4,0,2,1,0,125696.26,0,4,SILVER,629,0
112,709,Spain,Male,23,10,0,2,0,0,129590.18,0,2,SILVER,246,0
113,745,Spain,Female,31,3,124328.84,1,1,1,140451.52,0,5,GOLD,924,0
114,795,Spain,Male,35,8,0,2,1,0,167155.36,0,2,DIAMOND,708,0
115,626,Spain,Male,26,8,0,2,0,0,191420.71,0,4,PLATINUM,701,0
116,553,Spain,Male,47,3,116528.15,1,0,0,145704.19,1,2,DIAMOND,918,1
117,778,Spain,Female,47,6,127299.34,2,1,0,124694.99,0,2,GOLD,859,0
118,592,Spain,Male,31,7,110071.1,1,0,0,43921.36,0,3,GOLD,702,0
119,590,Spain,Female,44,3,139432.37,1,1,0,62222.81,0,4,PLATINUM,816,0
120,637,Spain,Male,37,8,0,1,1,1,186062.36,0,1,DIAMOND,699,0
121,509,Spain,Female,25,3,108738.71,2,1,0,106920.57,0,3,DIAMOND,595,0
122,818,Spain,Male,26,4,0,2,1,1,167036.94,0,3,SILVER,261,0
123,850,Spain,Female,32,9,0,2,1,1,18924.92,0,4,DIAMOND,765,0
124,631,Spain,Male,27,10,134169.62,1,1,1,176730.02,0,5,PLATINUM,863,0
125,788,Spain,Male,34,6,156478.62,1,0,1,181196.76,0,3,DIAMOND,760,0
126,615,Spain,Male,61,9,0,2,1,0,150227.85,1,4,DIAMOND,683,1
127,591,Spain,Male,29,1,97541.24,1,1,1,196356.17,0,2,PLATINUM,850,0
128,555,Spain,Male,32,4,0,2,1,1,54405.79,0,4,DIAMOND,850,0
129,638,Spain,Male,44,9,77637.35,2,1,1,111346.22,0,4,SILVER,343,0
130,543,Spain,Female,41,4,0,1,0,0,194902.16,0,5,PLATINUM,331,0
131,599,Spain,Female,37,2,0,2,1,1,143739.29,0,4,GOLD,516,0
132,735,Spain,Male,34,5,0,2,0,0,71095.41,0,1,PLATINUM,898,0
133,793,Spain,Male,38,9,0,2,1,0,88225.02,0,1,SILVER,690,0
134,527,Spain,Male,37,5,93722.73,2,1,1,139093.73,0,3,PLATINUM,453,0
135,519,Spain,Female,57,2,119035.35,2,1,1,29871.79,0,3,SILVER,689,0
136,702,Spain,Female,26,4,135219.57,1,0,1,59747.63,0,4,DIAMOND,267,0
137,543,Spain,Male,35,10,59408.63,1,1,0,76773.53,0,4,GOLD,480,0
138,686,Spain,Male,34,9,0,2,1,0,127569.8,0,3,SILVER,358,0
139,721,Spain,Male,51,0,169312.13,1,1,0,109078.35,1,2,PLATINUM,405,1
140,842,Spain,Female,44,2,112652.08,2,1,0,126644.98,0,5,DIAMOND,939,0
141,685,Spain,Female,25,10,128509.63,1,1,0,121562.33,0,3,DIAMOND,560,0
142,590,Spain,Female,51,3,154962.99,3,0,1,191932.27,1,1,SILVER,759,1
143,741,Spain,Male,53,3,0,2,1,1,38913.68,0,3,GOLD,245,0
144,850,Spain,Female,70,5,0,1,1,1,705.18,0,1,DIAMOND,283,0
145,650,Spain,Male,61,1,152968.73,1,0,1,82970.69,0,5,DIAMOND,683,0
146,607,Spain,Male,36,8,158261.68,1,1,1,76744.72,0,5,GOLD,863,0
147,689,Spain,Female,38,6,121021.05,1,1,1,12182.15,0,3,SILVER,946,0
148,438,Spain,Female,54,2,0,1,0,0,191763.07,1,3,SILVER,281,1
149,687,Spain,Female,63,1,137715.66,1,1,1,37938.74,0,1,PLATINUM,938,0
150,648,Spain,Female,49,10,0,2,1,1,159835.78,1,2,GOLD,314,1
